NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
56957,23084AB,2025-07-26,1.7124455035575044,0.02660230845889757,0.0009276,1.5143768133949278,4.772815769747237,0.06650234004810067,11618,0.00024968,1 56957U 23084AB  25207.89768756  .00005994  00000+0  24968-3 0  9999,2 56957  98.1159   1.5242 0009276  86.7674 273.4622 15.24121365116186
56958,23084AC,2025-07-27,1.7031411533151226,5.9120200977919675,0.0008998,0.5191726206152413,5.767072248743091,0.06697517360984344,11798,0.00032282,1 56958U 23084AC  25208.36768130  .00010879  00000+0  32282-3 0  9995,2 56958  97.5828 338.7338 0008998  29.7464 330.4289 15.34957912117986
56960,23084AE,2025-07-27,1.7032039851681944,5.864330721310475,0.0010275,0.8512878333187381,5.435602807862832,0.06667175060647842,11780,0.00026124000000000004,1 56960U 23084AE  25208.51785210  .00007070  00000+0  26124-3 0  9990,2 56960  97.5864 336.0014 0010275  48.7752 311.4371 15.28003969117802
56961,23084AF,2025-07-26,1.7028374660252756,5.98969946681048,0.0001334,0.18936124252437678,6.096058086097762,0.06767333415220707,11828,0.00068809,1 56961U 23084AF  25207.93750079  .00039934  00000+0  68809-3 0  9991,2 56961  97.5654 343.1845 0001334  10.8496 349.2784 15.50958573118287
56962,23084AG,2025-07-26,1.703052141523271,5.972872747492002,0.0007024,0.3242682123865305,5.961542069988055,0.06743700649221061,11818,0.00057441,1 56962U 23084AG  25207.91865257  .00027576  00000+0  57441-3 0  9994,2 56962  97.5777 342.2204 0007024  18.5792 341.5712 15.45542342118181
56963,23084AH,2025-07-27,1.7028776085980715,5.85119886401847,0.0008071,0.6493584748507503,5.636968424982426,0.06692885396775893,11781,0.0004974199999999999,1 56963U 23084AH  25208.51177441  .00016259  00000+0  49742-3 0  9994,2 56963  97.5677 335.2490 0008071  37.2055 322.9745 15.33896344117812
56964,23084AJ,2025-07-27,1.7032074758266984,5.834832911622519,0.0012506,0.809485452404222,5.477665242835895,0.06651248241818339,11769,0.00018787,1 56964U 23084AJ  25208.50612854  .00004533  00000+0  18787-3 0  9993,2 56964  97.5866 334.3113 0012506  46.3801 313.8471 15.24353811117691
56965,23084AK,2025-07-26,1.703011998950475,5.995240887185562,0.0006007,0.05375090497366936,6.2316806409532335,0.06765452447705893,11827,0.00061173,1 56965U 23084AK  25207.88058623  .00034954  00000+0  61173-3 0  9999,2 56965  97.5754 343.5020 0006007   3.0797 357.0490 15.50527487118277
56966,23084AL,2025-07-27,1.7022911779694012,5.908983224893498,0.0007231,5.950262007032416,0.3346145241923529,0.06676987620225142,11819,0.00041428,1 56966U 23084AL  25208.52500652  .00012062  00000+0  41428-3 0  9993,2 56966  97.5341 338.5598 0007231 340.9249  19.1720 15.30252842118190
56968,23084AN,2025-07-27,1.7003713157922076,5.864814177513278,0.0006417,5.9143728016236565,0.3705281642106402,0.06744664782189831,11848,0.00050878,1 56968U 23084AN  25208.19513574  .00024589  00000+0  50878-3 0  9991,2 56968  97.4241 336.0291 0006417 338.8686  21.2297 15.45763305118481
56970,23084AQ,2025-07-26,1.7032511090579983,5.891898196845726,0.0011326,0.631892965026043,5.654791727303792,0.06676852566647623,11783,0.0002386,1 56970U 23084AQ  25207.92930345  .00006909  00000+0  23860-3 0  9990,2 56970  97.5891 337.5809 0011326  36.2048 323.9957 15.30221890117838
56995,23084BX,2025-07-27,1.7066178491850952,5.991345312295111,0.0012273,3.8849650339284696,2.398712456100179,0.06619757379571006,11705,0.00016974,1 56995U 23084BX  25208.49071212  .00003300  00000+0  16974-3 0  9999,2 56995  97.7820 343.2788 0012273 222.5921 137.4361 15.17136637117051
